226Q1A4201,R2021011,MATHEMATICS-III,21,F,0
226Q1A4201,R202101A,COMMUNITY SERVICES PROJECT,0,A+,4
226Q1A4201,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,22,F,0
226Q1A4201,R2021121,DATABASE MANAGEMENT SYSTEMS,23,E,3
226Q1A4201,R2021123,DATABASE MANAGEMENT SYSTEMS LAB,13,A+,1.5
226Q1A4201,R2021421,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,23,F,0
226Q1A4201,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,20,C,3
226Q1A4201,R2021423,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,12,A+,1.5
226Q1A4201,R2021424,OBJECT ORIENTED PROGRAMMING WITH JAVA LA,12,A+,1.5
226Q1A4201,R2021425,MOBILE APP DEVELOPMENT,0,A+,2
226Q1A4201,R2021426,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0
226Q1A4202,R2021011,MATHEMATICS-III,19,C,3
226Q1A4202,R202101A,COMMUNITY SERVICES PROJECT,0,A+,4
226Q1A4202,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,26,D,3
226Q1A4202,R2021121,DATABASE MANAGEMENT SYSTEMS,19,C,3
226Q1A4202,R2021123,DATABASE MANAGEMENT SYSTEMS LAB,11,A+,1.5
226Q1A4202,R2021421,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,23,B,3
226Q1A4202,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,21,C,3
226Q1A4202,R2021423,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,13,A+,1.5
226Q1A4202,R2021424,OBJECT ORIENTED PROGRAMMING WITH JAVA LA,12,A+,1.5
226Q1A4202,R2021425,MOBILE APP DEVELOPMENT,0,A+,2
226Q1A4202,R2021426,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,27,COMPLE,0
226Q1A4203,R2021011,MATHEMATICS-III,19,E,3
226Q1A4203,R202101A,COMMUNITY SERVICES PROJECT,0,A+,4
226Q1A4203,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,22,F,0
226Q1A4203,R2021121,DATABASE MANAGEMENT SYSTEMS,25,B,3
226Q1A4203,R2021123,DATABASE MANAGEMENT SYSTEMS LAB,12,A,1.5
226Q1A4203,R2021421,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,23,A,3
226Q1A4203,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,23,B,3
226Q1A4203,R2021423,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,12,A+,1.5
226Q1A4203,R2021424,OBJECT ORIENTED PROGRAMMING WITH JAVA LA,13,A+,1.5
226Q1A4203,R2021425,MOBILE APP DEVELOPMENT,0,A+,2
226Q1A4203,R2021426,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,28,COMPLE,0
226Q1A4205,R2021011,MATHEMATICS-III,17,F,0
226Q1A4205,R202101A,COMMUNITY SERVICES PROJECT,0,A+,4
226Q1A4205,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,22,F,0
226Q1A4205,R2021121,DATABASE MANAGEMENT SYSTEMS,21,E,3
226Q1A4205,R2021123,DATABASE MANAGEMENT SYSTEMS LAB,13,A+,1.5
226Q1A4205,R2021421,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,21,F,0
