22,2023July,216Q1A4612,R2022463,DATABASE MANAGEMENT SYSTEMS LAB,A,1.5,14
22,2023July,216Q1A4612,R2022464,ANDROID APPLICATION DEVELOPMENT,A+,2,0
22,2023July,216Q1A4612,R2022462,R PROGRAMMING LAB,A,1.5,14
22,2023July,216Q1A4612,R2022461,COMPUTER ORGANIZATION& ARCHITECTURE LAB,A,1.5,13
22,2023July,216Q1A4612,R2022055,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,C,3,26
22,2023July,216Q1A4612,R2022053,FORMAL LANGUAGES AND AUTOMATA THEORY,D,3,20
22,2023July,216Q1A4612,R2022051,PROBABILITY AND STATISTICS,C,3,21
22,2023July,216Q1A4612,R2022052,DATABASE MANAGEMENT SYSTEMS,D,3,19
22,2023July,216Q1A4612,R2022061,COMPUTER ORGANIZATION& ARCHITECTURE,D,3,21
21,2023July,216Q1A4612,R2021011,MATHEMATICS-III,C,3,24
12,2022Aug,216Q1A4612,R201242,PROBLEM SOLVING USING PYTHON LABORATORY,A+,1.5,14
12,2022Aug,216Q1A4612,R201239,APPLIED CHEMISTRY LABORATORY,A+,1.5,14
12,2022Aug,216Q1A4612,R201229,CONSTITUTION OF INDIA,COMPLE,0,0
12,2022Aug,216Q1A4612,R201221,DIGITAL LOGIC DESIGN,B,3,24
12,2022Aug,216Q1A4612,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,D,3,23
12,2022Aug,216Q1A4612,R201201,MATHEMATICS-II,D,3,22
12,2022Aug,216Q1A4612,R201215,APPLIED CHEMISTRY,F,0,24
12,2022Aug,216Q1A4612,R201243,DIGITAL LOGIC DESIGN LABORATORY,A+,1.5,15
11,2022Sep,216Q1A4612,R201101,MATHEMATICS - I,D,3,22
12,2022Aug,216Q1A4612,R201219,PROBLEM SOLVING USING PYTHON,D,3,22
21,2023Jan,216Q1A4612,R2021061,DATA STRUCTURES,D,3,19
21,2023Jan,216Q1A4612,R2021063,DATA STRUCTURES LAB,A+,1.5,14
21,2023Jan,216Q1A4612,R2021064,OS&UNIX PROGRAMMING LAB,A,1.5,10
21,2023Jan,216Q1A4612,R2021065,JAVA PROGRAMMING LAB,A+,1.5,14
21,2023Jan,216Q1A4612,R2021066,FREE AND OPEN SOURCE SOFTWARE,A+,2,0
21,2023Jan,216Q1A4612,R2021062,JAVA PROGRAMMING,D,3,24
21,2023Jan,216Q1A4612,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,D,3,29
21,2023Jan,216Q1A4612,R2021052,OPERATING SYSTEMS,C,3,21
21,2023Jan,216Q1A4612,R2021039,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,COMPLE,0,0
21,2023Jan,216Q1A4612,R202101A,COMMUNITY SERVICES PROJECT,A+,2,0
21,2023Jan,216Q1A4612,R2021011,MATHEMATICS-III,F,0,24
12,2022Aug,216Q1A4612,R201215,APPLIED CHEMISTRY,D,3,24
12,2022Aug,216Q1A4612,R201215,APPLIED CHEMISTRY,D,3,24
11,2022Apr,216Q1A4612,R201117,APPLIED PHYSICS,D,3,24
11,2022Apr,216Q1A4612,R201120,COMPUTER ENGINEERING WORKSHOP,A+,3,12
11,2022Apr,216Q1A4612,R201119,APPLIED PHYSICS LAB,A+,1.5,15
11,2022Apr,216Q1A4612,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3,22
11,2022Apr,216Q1A4612,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,A+,1.5,12
11,2022Apr,216Q1A4612,R201101,MATHEMATICS - I,F,0,22
11,2022Apr,216Q1A4612,R201102,COMMUNICATIVE ENGLISH,C,3,23
11,2022Apr,216Q1A4612,R201113,PROGRAMMING FOR PROBLEM SOLVING USING C,A+,1.5,11
