SEM,PYEAR,HTNO,SCODE,SUBNAME,INTM,EXTM,RES,R1,R2,R3
12,2022aug,216Q1A4602,R201219,PROBLEM SOLVING USING PYTHON,D,3,24,,,
12,2022aug,216Q1A4602,R201243,DIGITAL LOGIC DESIGN LABORATORY,A+,1.5,15,,,
12,2022aug,216Q1A4602,R201215,APPLIED CHEMISTRY,E,3,22,,,
21,2023jan,216Q1A4602,R2021063,DATA STRUCTURES LAB,A,1.5,10,,,
21,2023jan,216Q1A4602,R2021065,JAVA PROGRAMMING LAB,A,1.5,10,,,
21,2023jan,216Q1A4602,R2021064,OS&UNIX PROGRAMMING LAB,A+,1.5,10,,,
21,2023jan,216Q1A4602,R2021066,FREE AND OPEN SOURCE SOFTWARE,A+,2,0,,,
12,2023jan,216Q1A4602,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,F,0,23,,,
21,2023jan,216Q1A4602,R2021062,JAVA PROGRAMMING,E,3,18,,,
21,2023jan,216Q1A4602,R2021061,DATA STRUCTURES,E,3,20,,,
21,2023jan,216Q1A4602,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,B,3,28,,,
21,2023jan,216Q1A4602,R2021052,OPERATING SYSTEMS,D,3,23,,,
21,2023jan,216Q1A4602,R2021039,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,COMPLE,0,0,,,
21,2023jan,216Q1A4602,R2021011,MATHEMATICS-III,F,0,24,,,
12,2023jan,216Q1A4602,R201201,MATHEMATICS-II,F,0,23,,,
21,2023jan,216Q1A4602,R202101A,COMMUNITY SERVICES PROJECT,A+,2,0,,,
12,2023jan,216Q1A4602,R201221,DIGITAL LOGIC DESIGN,F,0,22,,,
11,2023feb,216Q1A4602,R201101,MATHEMATICS - I,F,0,21,,,
11,2023feb,216Q1A4602,R201117,APPLIED PHYSICS,F,0,20,,,
11,2022APR,216Q1A4602,R201117,APPLIED PHYSICS,F,0,20,,,
11,2022APR,216Q1A4602,R201120,COMPUTER ENGINEERING WORKSHOP,A,3,12,,,
11,2022APR,216Q1A4602,R201119,APPLIED PHYSICS LAB,A,1.5,12,,,
11,2022APR,216Q1A4602,R201113,PROGRAMMING FOR PROBLEM SOLVING USING C,A,1.5,12,,,
11,2022APR,216Q1A4602,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3,19,,,
11,2022APR,216Q1A4602,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,A,1.5,12,,,
11,2022APR,216Q1A4602,R201101,MATHEMATICS - I,F,0,21,,,
11,2022APR,216Q1A4602,R201102,COMMUNICATIVE ENGLISH,C,3,22,,,
11,2023july,216Q1A4603,R201101,MATHEMATICS - I,F,0,23,,,
22,2023JULY,216Q1A4603,R2022055,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,E,3,21,,,
22,2023JULY,216Q1A4603,R2022464,ANDROID APPLICATION DEVELOPMENT,A+,2,0,,,
22,2023JULY,216Q1A4603,R2022463,DATABASE MANAGEMENT SYSTEMS LAB,A+,1.5,13,,,
22,2023JULY,216Q1A4603,R2022462,R PROGRAMMING LAB,A+,1.5,13,,,
22,2023JULY,216Q1A4603,R2022061,COMPUTER ORGANIZATION& ARCHITECTURE,E,3,21,,,
22,2023JULY,216Q1A4603,R2022053,FORMAL LANGUAGES AND AUTOMATA THEORY,E,3,19,,,
22,2023JULY,216Q1A4603,R2022052,DATABASE MANAGEMENT SYSTEMS,D,3,22,,,
22,2023JULY,216Q1A4603,R2022051,PROBABILITY AND STATISTICS,E,3,22,,,
22,2023JULY,216Q1A4603,R2022461,COMPUTER ORGANIZATION& ARCHITECTURE LAB,A+,1.5,14,,,
12,2023aug,216Q1A4603,R201215,APPLIED CHEMISTRY,C,3,20,,,
21,2023JULY,216Q1A4603,R2021011,MATHEMATICS-III,D,3,23,,,
21,2023JULY,216Q1A4603,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,F,0,23,,,
12,2022aug,216Q1A4603,R201243,DIGITAL LOGIC DESIGN LABORATORY,A+,1.5,13,,,
12,2022aug,216Q1A4603,R201201,MATHEMATICS-II,F,0,21,,,
11,2022sep,216Q1A4603,R201101,MATHEMATICS - I,F,0,23,,,
11,2022sep,216Q1A4603,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3,21,,,
12,2022aug,216Q1A4603,R201219,PROBLEM SOLVING USING PYTHON,E,3,19,,,
12,2022aug,216Q1A4603,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,E,3,20,,,
12,2022aug,216Q1A4603,R201221,DIGITAL LOGIC DESIGN,B,3,21,,,
12,2022aug,216Q1A4603,R201229,CONSTITUTION OF INDIA,COMPLE,0,0,,,
12,2022aug,216Q1A4603,R201239,APPLIED CHEMISTRY LABORATORY,A,1.5,13,,,
12,2022aug,216Q1A4603,R201242,PROBLEM SOLVING USING PYTHON LABORATORY,A+,1.5,13,,,
12,2022aug,216Q1A4603,R201215,APPLIED CHEMISTRY,F,0,20,,,
21,2023jan,216Q1A4603,R2021052,OPERATING SYSTEMS,D,3,21,,,
21,2023jan,216Q1A4603,R2021066,FREE AND OPEN SOURCE SOFTWARE,A+,2,0,,,
21,2023jan,216Q1A4603,R2021065,JAVA PROGRAMMING LAB,A+,1.5,15,,,
21,2023jan,216Q1A4603,R2021064,OS&UNIX PROGRAMMING LAB,A+,1.5,14,,,
21,2023jan,216Q1A4603,R2021063,DATA STRUCTURES LAB,A+,1.5,14,,,
21,2023jan,216Q1A4603,R2021062,JAVA PROGRAMMING,E,3,20,,,
21,2023jan,216Q1A4603,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,F,0,23,,,
21,2023jan,216Q1A4603,R2021039,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,COMPLE,0,0,,,
21,2023jan,216Q1A4603,R202101A,COMMUNITY SERVICES PROJECT,A+,2,0,,,
21,2023jan,216Q1A4603,R2021011,MATHEMATICS-III,F,0,23,,,
12,2023jan,216Q1A4603,R201215,APPLIED CHEMISTRY,F,0,20,,,
12,2023jan,216Q1A4603,R201201,MATHEMATICS-II,D,3,21,,,
21,2023jan,216Q1A4603,R2021061,DATA STRUCTURES,E,3,19,,,
11,2023feb,216Q1A4603,R201101,MATHEMATICS - I,F,0,23,,,
11,2022APR,216Q1A4603,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0,21,,,
11,2022APR,216Q1A4603,R201119,APPLIED PHYSICS LAB,A+,1.5,12,,,
11,2022APR,216Q1A4603,R201120,COMPUTER ENGINEERING WORKSHOP,A+,3,15,,,
11,2022APR,216Q1A4603,R201101,MATHEMATICS - I,F,0,23,,,
11,2022APR,216Q1A4603,R201102,COMMUNICATIVE ENGLISH,C,3,23,,,
11,2022APR,216Q1A4603,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,A+,1.5,15,,,
11,2022APR,216Q1A4603,R201117,APPLIED PHYSICS,D,3,24,,,
11,2022APR,216Q1A4603,R201113,PROGRAMMING FOR PROBLEM SOLVING USING C,A+,1.5,12,,,
22,2023JULY,216Q1A4605,R2022055,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,D,3,25,,,
